dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Bank Marketing,onehot,sklearn-DT,7,0.8132942727770314,0.010212813515289746,0.8763898395991248,0.00396274001369229,1.5639713764190675,0.000989532470703125,"[0.812360053739364, 0.8235557545902373, 0.8243727598566308, 0.8095878136200717, 0.796594982078853]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",29,7.983963447410858,7,87,0.6706195117343126
Bank Marketing,onehot,OSDT,7,0.5261601795806469,0.00016647679940262044,0.5,0.0,0.0025438785552978514,0.0004004955291748047,"[0.5261979399910435, 0.5261979399910435, 0.5259856630824373, 0.5259856630824373, 0.5264336917562724]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
Bank Marketing,onehot,ConTree,7,0.7897320977131878,0.008021057641760657,0.817780558604435,0.011210604852420312,299.9970643520355,0.00082244873046875,"[0.793551276309897, 0.7962382445141066, 0.7956989247311828, 0.7885304659498208, 0.774641577060932]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.1, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Bank Marketing,onehot,ODT,9,0.7583806843261793,0.028525946164421136,0.8202867481724564,0.02942539455082553,1.080322790145874,0.0032206058502197267,"[0.7433945364979848, 0.7281683833407971, 0.7871863799283154, 0.7979390681003584, 0.7352150537634409]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",9,9.0,9,512,0.0
Bank Marketing,onehot,RDT,9,0.8053195630225665,0.01015721803341087,0.8731425927490948,0.003828107565774627,1.7296526432037354,0.004961442947387695,"[0.8208687863860278, 0.812807881773399, 0.7952508960573477, 0.8028673835125448, 0.7948028673835126]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",8,9.0,9,512,0.8347222222222221
Bank Marketing,onehot,RDT-TwoPass,9,0.7844462823050142,0.012177459486601103,0.8575016307767136,0.01310019562726636,5.622755432128907,0.005606460571289063,"[0.799820868786386, 0.7796686072548141, 0.7916666666666666, 0.7638888888888888, 0.7871863799283154]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",7,9.0,9,512,0.65
Bank Marketing,onehot,sklearn-DT,9,0.820999844303515,0.0066238199916926754,0.8721981922281266,0.009467831365319779,2.029913377761841,0.0009784221649169922,"[0.8235557545902373, 0.8181818181818182, 0.8221326164874552, 0.8306451612903226, 0.8104838709677419]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 5}",34,9.925192617810428,9,203,0.7916934140618352
Bank Marketing,onehot,OSDT,9,0.5261601795806469,0.00016647679940262044,0.5,0.0,0.0026180267333984373,0.0005990028381347656,"[0.5261979399910435, 0.5261979399910435, 0.5259856630824373, 0.5259856630824373, 0.5264336917562724]","{'max_depth': 9, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",9,9.0,9,512,0.0
Bank Marketing,onehot,ConTree,9,0.7818478765086107,0.010509246150782046,0.813348506809219,0.013899714237519206,300.0282576560974,0.0007769584655761719,"[0.7859381997313032, 0.7917599641737573, 0.7871863799283154, 0.7827060931899642, 0.7616487455197133]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
Bank Marketing,target,ODT,3,0.7470924885274162,0.03029541955292107,0.8068481348157743,0.014856566080421303,0.8172612190246582,0.0019523143768310548,"[0.7268248992386923, 0.7210031347962382, 0.78584229390681, 0.782258064516129, 0.7195340501792115]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
