algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.8651827588914525,0.0031606896212201013,37.164183902740476
ConTree,3,target,0.8651827588914525,0.0031606896212201013,39.59665842056275
ConTree,5,onehot,0.7219899174393545,0.004616098563266019,299.99839677810667
ConTree,5,target,0.7219899174393545,0.004616098563266019,300.005513048172
ConTree,7,onehot,0.5466143983153818,0.0423733398784369,300.0034714698792
ConTree,7,target,0.5336117914637414,0.034212104071847896,300.0297005176544
ConTree,9,onehot,0.5351549094806453,0.011823965254024049,300.00046758651735
ConTree,9,target,0.5353753356378826,0.011763369709390958,299.99856820106504
ODT,3,onehot,0.5897435593009505,0.0027471842638018937,21.786033964157106
ODT,3,target,0.5897435593009505,0.0027471842638018937,23.044072341918945
ODT,5,onehot,0.5964293876718394,0.001253390217109428,22.035423851013185
ODT,5,target,0.5964293876718394,0.001253390217109428,22.418069791793823
ODT,7,onehot,0.5976048049610322,0.0023652660969726838,21.558895921707155
ODT,7,target,0.5976048049610322,0.0023652660969726838,22.88773031234741
ODT,9,onehot,0.597531356558535,0.002350148842704416,21.640448093414307
ODT,9,target,0.597531356558535,0.002350148842704416,71.23782067298889
RDT,3,onehot,0.8377056089808885,0.00673884740285616,75.60798568725586
RDT,3,target,0.8377056089808885,0.00673884740285616,34.66849269866943
RDT,5,onehot,0.8670203720828074,0.013224069995919095,33.707323265075686
RDT,5,target,0.8670203720828074,0.013224069995919095,35.56208057403565
RDT,7,onehot,0.8967754208509815,0.008194491322805397,34.29824137687683
RDT,7,target,0.8967754208509815,0.008194491322805397,36.43788638114929
RDT,9,onehot,0.8982448745993998,0.008828130387506827,35.77361273765564
RDT,9,target,0.8982448745993998,0.008828130387506827,115.11022486686707
RDT-TwoPass,3,onehot,0.8377056089808885,0.00673884740285616,49.24101495742798
RDT-TwoPass,3,target,0.8377056089808885,0.00673884740285616,51.74731330871582
RDT-TwoPass,5,onehot,0.8926604754502359,0.0032601983173091726,67.17716517448426
RDT-TwoPass,5,target,0.8926604754502359,0.0032601983173091726,69.67724733352661
RDT-TwoPass,7,onehot,0.9043423872026007,0.003993745580590063,132.7342216014862
RDT-TwoPass,7,target,0.9043423872026007,0.003993745580590063,84.18314061164855
RDT-TwoPass,9,onehot,0.9067667241499805,0.0047668994328893535,98.1193778038025
RDT-TwoPass,9,target,0.9067667241499805,0.0047668994328893535,249.69229965209962
sklearn-DT,3,onehot,0.7842168503371422,0.012523877151950406,3.27724552154541
sklearn-DT,3,target,0.7842168503371422,0.012523877151950406,3.417171287536621
sklearn-DT,5,onehot,0.8843578378107088,0.004653001956430027,5.267851686477661
sklearn-DT,5,target,0.8843578378107088,0.004653001956430027,5.577301692962647
sklearn-DT,7,onehot,0.9038276007871554,0.003399301265252194,6.937950229644775
sklearn-DT,7,target,0.9032398246844376,0.0034171919157069456,14.75111527442932
sklearn-DT,9,onehot,0.9111016639759871,0.003209336391145361,8.429411172866821
sklearn-DT,9,target,0.9107343140305068,0.0028813347369368407,8.24961190223694
