algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
RDT-TwoPass,5,target,0.6833765946523922,0.0013554021231384,,,550.1706182479859,0.2788698673248291,"[0.6812302608366393, 0.6835107527344388, 0.6848591246278033, 0.6846956162544534, 0.6825872188086264]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,4,5.0,5,32,0.0,Cover Type
sklearn-DT,5,target,0.7024123438440573,0.0009635225015496,,,164.46085228919983,0.0165738582611084,"[0.7012555613882602, 0.7028476029018184, 0.7040498442367601, 0.7018726011600489, 0.7020361095333988]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,12,5.0,5,32,0.0,Cover Type
ConTree,5,target,0.6526354018026179,0.0004421894724204,,,338.58816566467283,0.0145372867584228,"[0.652435823515744, 0.6527628374482587, 0.6531729230133733, 0.6529147518975577, 0.651890673138156]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.1, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
ODT,7,target,0.6737485634331392,0.0005646161365975,,,208.0571674823761,0.1962182521820068,"[0.6733388983072727, 0.6738208135762416, 0.6746097313299255, 0.6740073320596892, 0.6729660418925664]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Cover Type
RDT,7,target,0.6895657931704768,0.000647105586471,,,287.10361375808714,0.3387607097625732,"[0.6883471166837345, 0.6901629045721711, 0.6900483640556961, 0.6895664446395071, 0.6897041359012753]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,7.0,7,128,0.0,Cover Type
RDT-TwoPass,7,target,0.7072452909283433,0.003216794100069,,,712.3790654659272,0.3657478809356689,"[0.7069438826880545, 0.7065738406065248, 0.7042994096487152, 0.7050308944768593, 0.7133784272215624]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,7.0,7,128,0.0,Cover Type
sklearn-DT,7,target,0.7286286686237272,0.0013529564013319,,,210.900421667099,0.0168408393859863,"[0.7278555631093861, 0.7293873652143232, 0.7308910345777181, 0.7270959191752293, 0.7279134610419786]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,24,7.0,7,125,0.0,Cover Type
ConTree,7,target,0.6498833090091989,0.0010314193334413,,,322.6856451511383,0.0213624477386474,"[0.647900656609554, 0.6507319088147466, 0.650083475327447, 0.6506600574861018, 0.6500404468081444]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
ODT,3,onehot,0.6706935505599702,0.0008148701150487,,,202.91488833427428,0.1640563488006591,"[0.6693200691892636, 0.6708690825538067, 0.6717698490559543, 0.6710986041548338, 0.6704101478459923]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,3.0,3,8,0.0,Cover Type
RDT,3,onehot,0.6733406560028274,0.0006485496828451,,,292.4827108860016,0.2339990139007568,"[0.6722115608030774, 0.6732442363794394, 0.6740675719867127, 0.6738782465017814, 0.6733016643431267]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,2,3.0,3,8,0.0,Cover Type
