algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
OSDT,9,onehot,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.1230646610260009,0.0031306743621826,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 9, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,9.0,9,512,0.0,Adult Income
ConTree,9,onehot,0.7660005441840839,0.0014253387602289,0.7944659695332306,0.0028539494391654,303.19741945266725,0.0035470008850097,"[0.7665062954243014, 0.7669157539154469, 0.7676085176085176, 0.7654586404586404, 0.7635135135135135]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
ODT,5,target,0.8299004065996594,0.0071704895477514,0.8642357701908013,0.0056727776250726,67.7796115398407,0.0447594165802002,"[0.8400040945849114, 0.8241375780530249, 0.8243243243243243, 0.8238124488124489, 0.8372235872235873]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,5.0,5,32,0.0,Adult Income
RDT,5,target,0.8511935371286379,0.0036746318053921,0.8790690781632715,0.002354445151732,77.01660838127137,0.0400969505310058,"[0.8507523799774798, 0.8568942573446617, 0.8484848484848485, 0.8533988533988534, 0.8464373464373465]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,5.0,5,32,0.0,Adult Income
RDT-TwoPass,5,target,0.8495760524294663,0.0048823563887944,0.8779961768997449,0.0073361577447099,76.76549324989318,0.0262374877929687,"[0.8463507011976661, 0.8592486436687481, 0.846949221949222, 0.8483824733824734, 0.846949221949222]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",True,5,5.0,5,32,0.0,Adult Income
sklearn-DT,5,target,0.8512550229716777,0.0030223071996418,0.8863790591396464,0.0022605499807833,7.854963636398315,0.0014394760131835,"[0.8487050875217524, 0.8559729757395844, 0.8503276003276004, 0.8533988533988534, 0.8478705978705978]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",True,10,5.0,5,28,0.0,Adult Income
OSDT,5,target,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.0563515663146972,0.0002912998199462,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,5.0,5,32,0.0,Adult Income
ConTree,5,target,0.8557183552679509,0.0028446457658491,0.8289564844916277,0.0079158357490068,300.1044069766998,0.0008519172668457,"[0.8561777049851571, 0.8593510082915344, 0.8544226044226044, 0.8575962325962326, 0.851044226044226]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
ODT,7,target,0.8414274993965852,0.0017860886412122,0.8860295497800095,0.0021961762425083,73.11195836067199,0.0507844924926757,"[0.8391851776026206, 0.8417442931722796, 0.8396805896805897, 0.8439803439803439, 0.8425470925470926]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Adult Income
RDT,7,target,0.8527087137948024,0.0019807050577218,0.8986129354954805,0.0033998839612758,93.4140763759613,0.0577984809875488,"[0.8526973078104207, 0.8537209540382844, 0.8539107289107289, 0.8543202293202293, 0.8488943488943489]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",True,7,7.0,7,128,0.0,Adult Income
