dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Vehicle,onehot,RDT-TwoPass,9,0.6844204664114166,0.01562753597791089,,,0.7484169006347656,0.00032343864440917967,"[0.6647058823529411, 0.6923076923076923, 0.6745562130177515, 0.6804733727810651, 0.7100591715976331]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 1}",9,9.0,9,512,0.4787762237762238
Vehicle,onehot,sklearn-DT,9,0.677298990602158,0.02240125970466105,,,0.2589902877807617,0.00017910003662109376,"[0.6823529411764706, 0.6923076923076923, 0.6390532544378699, 0.7041420118343196, 0.6686390532544378]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}",18,8.15839243498818,9,98,0.9555555555555555
Vehicle,onehot,ConTree,9,0.6536094674556213,0.03151486178102758,,,0.1348602294921875,0.0006022930145263671,"[0.7, 0.6449704142011834, 0.650887573964497, 0.6035502958579881, 0.6686390532544378]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
Vehicle,target,ODT,3,0.5236268708666898,0.031182906485271486,,,0.08364853858947754,0.0003998279571533203,"[0.5352941176470588, 0.5029585798816568, 0.47337278106508873, 0.5562130177514792, 0.5502958579881657]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
Vehicle,target,RDT,3,0.594549251653324,0.03290126420272493,,,0.11733498573303222,0.0,"[0.6058823529411764, 0.5798816568047337, 0.5384615384615384, 0.6153846153846154, 0.6331360946745562]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.8
Vehicle,target,RDT-TwoPass,3,0.6512982944657153,0.019099939105455065,,,0.21189041137695314,0.0,"[0.6529411764705882, 0.621301775147929, 0.6449704142011834, 0.6804733727810651, 0.6568047337278107]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,3.0,3,8,1.0
Vehicle,target,sklearn-DT,3,0.6512982944657153,0.02085265530241281,,,0.1734379291534424,0.0,"[0.6529411764705882, 0.6272189349112426, 0.6331360946745562, 0.6863905325443787, 0.6568047337278107]","{'ccp_alpha': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",4,3.862884160756501,3,7,0.6983333333333334
Vehicle,target,ConTree,3,0.663125652627915,0.022979732853694562,,,1.2371091365814209,0.00020012855529785156,"[0.6588235294117647, 0.6449704142011834, 0.6331360946745562, 0.6863905325443787, 0.6923076923076923]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
Vehicle,target,ODT,5,0.54963452836756,0.03490768539413852,,,0.09438548088073731,0.0,"[0.5588235294117647, 0.5384615384615384, 0.5029585798816568, 0.6094674556213018, 0.5384615384615384]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
Vehicle,target,RDT,5,0.6430003480682214,0.03321734941569155,,,0.14539823532104493,0.0,"[0.6647058823529411, 0.6153846153846154, 0.591715976331361, 0.6745562130177515, 0.6686390532544378]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",5,5.0,5,32,0.6435714285714286
