algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,5,100,0.7681436210847975,0.030253236871835378,0.8296023759608666,0.027211461646286357,0.7631839442880839,0.02979938066604236,26.12041358947754,2.5039345402669797,0.029099512100219726,130.6020679473877,8,8,100.0,5,100,True,Pima Indians Diabetes,target,768
GB-RDT-Fast,5,100,0.7681436210847975,0.030253236871835378,0.8296023759608666,0.027211461646286357,0.7631839442880839,0.02979938066604236,8.38927960395813,0.14417197260534714,0.030371761322021483,41.94639801979065,8,8,100.0,5,100,True,Pima Indians Diabetes,target,768
GB-sklearn,5,100,0.7642899584076055,0.014994871250553776,0.8150426275331937,0.025524023196014295,0.7610502869890059,0.014902697303041865,0.32424168586730956,0.018559696983468536,0.0009895801544189454,1.6212084293365479,8,8,100.0,5,100,True,Pima Indians Diabetes,target,768
XGBoost,5,100,0.7486376368729311,0.02272909513007829,0.8092103424178896,0.030948758134080052,0.7456661078956681,0.023397443671238475,0.11692752838134765,0.010667737368821274,0.0018030643463134766,0.5846376419067383,8,8,100.0,-1,100,True,Pima Indians Diabetes,target,768
CatBoost,5,100,0.7616586028350735,0.023741306793591876,0.8346799440950384,0.025588994639863884,0.7567522075946289,0.02260397208452757,0.18523030281066893,0.06781458909727785,0.0018135547637939454,0.9261515140533447,8,8,100.0,-1,0,True,Pima Indians Diabetes,target,768
