algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,encoding,sample_size
GB-RDT,3,100,0.7733384262796028,0.03194097600419941,0.8300908455625435,0.02730524630846058,0.7661569693893019,0.031871878415336334,13.139209270477295,1.1430470303332412,0.018332529067993163,65.69604635238647,8,8,100.0,3,100,True,Pima Indians Diabetes,target,768
GB-RDT-Fast,3,100,0.7733384262796028,0.03194097600419941,0.8300908455625435,0.02730524630846058,0.7661569693893019,0.031871878415336334,4.360895347595215,0.22190354537917997,0.0188140869140625,21.804476737976074,8,8,100.0,3,100,True,Pima Indians Diabetes,target,768
GB-sklearn,3,100,0.7590612002376709,0.030069811760942287,0.825748427672956,0.02959168995832353,0.7559400380522823,0.02884291944325456,0.1613076686859131,0.009485891583265162,0.0007348060607910156,0.8065383434295654,8,8,100.0,3,100,True,Pima Indians Diabetes,target,768
XGBoost,3,100,0.7694762753586283,0.019350824182287854,0.8321823899371068,0.02157940722255087,0.7663314331533304,0.017974597141761972,0.05244956016540527,0.00837099190487932,0.0013048648834228516,0.26224780082702637,8,8,100.0,-1,100,True,Pima Indians Diabetes,target,768
CatBoost,3,100,0.7642560054324761,0.024787148522370208,0.8398511530398324,0.028025533610079863,0.7585052868891078,0.022681223998245067,0.12507271766662598,0.06624031524866338,0.0012577533721923827,0.6253635883331299,8,8,100.0,-1,0,True,Pima Indians Diabetes,target,768
