algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
ODT,7,onehot,0.8267066303687247,0.005518530944194617,0.8730571012221171,0.005099615502602194,46.12674522399902,0.02938241958618164,"[0.8243423072985976, 0.8238304841846658, 0.823914823914824, 0.8237100737100738, 0.8377354627354627]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Adult Income
RDT,7,onehot,0.852954411944585,0.0033231534397783857,0.8905185537909499,0.002518561255495521,55.24386892318726,0.02912163734436035,"[0.8497287337496161, 0.8567918927218753, 0.8541154791154791, 0.8557534807534808, 0.8483824733824734]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,7,7.0,7,128,0.0,Adult Income
RDT-TwoPass,7,onehot,0.8512754162513605,0.004842450595652145,0.8763502330667791,0.008243214356078868,85.20938973426819,0.027897119522094727,"[0.8487050875217524, 0.8599651960282526, 0.8522727272727273, 0.8498157248157249, 0.8456183456183456]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 1}",True,4,7.0,7,128,0.0,Adult Income
sklearn-DT,7,onehot,0.8559640785687463,0.003166819694450858,0.9006423224576604,0.000983897569905266,11.569097518920898,0.0024844646453857423,"[0.8537209540382844, 0.8606817483877572, 0.8584152334152334, 0.855036855036855, 0.851965601965602]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 10}",True,18,7.0,7,78,0.0,Adult Income
OSDT,7,onehot,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.04477682113647461,0.001553964614868164,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Adult Income
ConTree,7,onehot,0.7662052943888342,0.001029206205943269,0.7902274820037701,0.002408922782296069,301.77755851745604,0.001566600799560547,"[0.7665062954243014, 0.7669157539154469, 0.7675061425061425, 0.7654586404586404, 0.7646396396396397]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
