algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_train_time
ConTree,3,onehot,0.9071946844167492,0.00940968476497475,48.853449726104735
ConTree,3,target,0.9071946844167492,0.00940968476497475,48.47452883720398
ConTree,5,onehot,0.9043685974602276,0.006805551074065822,300.10311713218687
ConTree,5,target,0.9043685974602276,0.006805551074065822,300.0322156429291
ConTree,7,onehot,0.9058898645139971,0.0056127182131653726,300.0548302173614
ConTree,7,target,0.9058898645139971,0.0056127182131653726,300.029550743103
ConTree,9,onehot,0.906107255818345,0.006324586643912308,300.0441331386566
ConTree,9,target,0.9076289949487798,0.006371831876101876,300.0525692939758
ODT,3,onehot,0.8300365859415569,0.0167383814455672,1.2446699142456055
ODT,3,target,0.8300365859415569,0.0167383814455672,1.4383859634399414
ODT,5,onehot,0.8776384364820847,0.010004116869863081,1.9984782695770265
ODT,5,target,0.8776384364820847,0.010004116869863081,1.9907649040222168
ODT,7,onehot,0.8861157531983194,0.010314722022946851,2.44648756980896
ODT,7,target,0.8861157531983194,0.010314722022946851,2.4672677993774412
ODT,9,onehot,0.8915502997686824,0.013198743831075046,2.8822482109069822
ODT,9,target,0.8915502997686824,0.013198743831075046,2.642692708969116
OSDT,3,onehot,0.6059552471321343,0.00048827597163123937,0.0010532855987548829
OSDT,3,target,0.6059552471321343,0.00048827597163123937,0.0013998031616210937
OSDT,5,onehot,0.6059552471321343,0.00048827597163123937,0.000994873046875
OSDT,5,target,0.6059552471321343,0.00048827597163123937,0.0016937255859375
OSDT,7,onehot,0.6059552471321343,0.00048827597163123937,0.0013988494873046875
OSDT,7,target,0.6059552471321343,0.00048827597163123937,0.0012063026428222657
OSDT,9,onehot,0.6059552471321343,0.00048827597163123937,0.0017277717590332032
OSDT,9,target,0.6059552471321343,0.00048827597163123937,0.0015994071960449218
RDT,3,onehot,0.8526448095170656,0.024496059683700236,1.9909741401672363
RDT,3,target,0.8526448095170656,0.024496059683700236,1.91141996383667
RDT,5,onehot,0.8895944861445498,0.012926859071747808,2.84100923538208
RDT,5,target,0.8895944861445498,0.012926859071747808,2.754615831375122
RDT,7,onehot,0.8991540386158711,0.008979680819478374,3.5023868083953857
RDT,7,target,0.8991540386158711,0.008979680819478374,3.65700478553772
RDT,9,onehot,0.9030661379408016,0.007798730906718237,4.007091522216797
RDT,9,target,0.9030661379408016,0.007798730906718237,3.9880369186401365
RDT-TwoPass,3,onehot,0.8487327101921351,0.012533081235696499,2.850613498687744
RDT-TwoPass,3,target,0.8487327101921351,0.012533081235696499,2.9685067176818847
RDT-TwoPass,5,onehot,0.8891538025775386,0.010612773124322539,5.487549686431885
RDT-TwoPass,5,target,0.8891538025775386,0.010612773124322539,5.093175745010376
RDT-TwoPass,7,onehot,0.9052412311759429,0.008388359907392775,7.294725942611694
RDT-TwoPass,7,target,0.9052412311759429,0.008388359907392775,6.889159774780273
RDT-TwoPass,9,onehot,0.9058936411273191,0.011039955118723318,8.492653131484985
RDT-TwoPass,9,target,0.9058936411273191,0.011039955118723318,8.251201105117797
sklearn-DT,3,onehot,0.8685101260444696,0.012730975223734928,0.7677598476409913
sklearn-DT,3,target,0.8685101260444696,0.012730975223734928,0.7787265300750732
sklearn-DT,5,onehot,0.9067617901147147,0.005887298242935672,1.2881243705749512
sklearn-DT,5,target,0.9069791814190624,0.006013544370927506,1.1507710456848144
sklearn-DT,7,onehot,0.9104564981352972,0.011860185688554997,1.5267229557037354
sklearn-DT,7,target,0.9108912807439928,0.009985932380501897,1.4746879100799561
sklearn-DT,9,onehot,0.9152365104092904,0.008523825451237742,1.7932888507843017
sklearn-DT,9,target,0.915237454562621,0.009970594055025575,1.9555012226104735
