dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
HTRU2,onehot,sklearn-DT,7,0.9767570605065863,0.0015462373099926425,0.9320415076807629,0.01974468465023271,5.648706865310669,0.0005131244659423828,"[0.9784916201117319, 0.9762569832402235, 0.9776536312849162, 0.9740150880134115, 0.9773679798826488]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",8,7.980277125935859,7,72,1.0
HTRU2,onehot,OSDT,7,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.018239593505859374,8.082389831542969e-05,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.0
HTRU2,onehot,ConTree,7,0.9037323243438993,0.001048192783161357,0.8838952928380597,0.005876124991793536,300.0085162639618,0.0006071090698242188,"[0.9050279329608939, 0.9027932960893855, 0.9022346368715084, 0.9044425817267393, 0.9041631740709696]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
HTRU2,onehot,ODT,9,0.977148168787199,0.001386375294087209,0.9641595044967033,0.007870624108204913,104.96135106086732,0.008034133911132812,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9770885722268791]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",9,9.0,9,512,0.0
HTRU2,onehot,RDT,9,0.9756953582427599,0.0022167245963551885,0.9556838411668576,0.008334291740012108,156.318674325943,0.013160514831542968,"[0.9779329608938547, 0.975977653631285, 0.9776536312849162, 0.9717798267672534, 0.9751327186364906]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",3,9.0,9,512,0.67
HTRU2,onehot,RDT-TwoPass,9,0.9772040034902542,0.001738535016606827,0.9578510183589668,0.013198370071198133,191.58431091308594,0.01328434944152832,"[0.9801675977653631, 0.976536312849162, 0.9776536312849162, 0.9748533109807209, 0.9768091645711092]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",6,9.0,9,512,0.5285714285714286
HTRU2,onehot,sklearn-DT,9,0.9772040503183529,0.0013884764110590603,0.9056946057369728,0.011160241052374205,6.6306211948394775,0.0004689216613769531,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9773679798826488]","{'ccp_alpha': 0.01, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}",1,2.0,1,2,1.0
HTRU2,onehot,OSDT,9,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.018453073501586915,8.12530517578125e-05,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 9, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",9,9.0,9,512,0.0
HTRU2,onehot,ConTree,9,0.9469783232730968,0.009249218271259404,0.9237703753894237,0.007197206207712163,299.8276443004608,0.0007298469543457031,"[0.9388268156424581, 0.9446927374301676, 0.9393854748603352, 0.9642358200614697, 0.9477507683710533]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
HTRU2,target,ODT,3,0.9772040503183529,0.0013884764110590603,0.958698035886694,0.008458153650227238,77.66487112045289,0.005269432067871093,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9773679798826488]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
