algorithm,depth,n_estimators,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_f1,std_f1,mean_train_time,std_train_time,mean_pred_time,total_train_time,distinct_features,total_features,feature_usage_pct,avg_tree_depth,n_trees,success,dataset,sample_size
GB-RDT,7,100,0.8276,0.01118212859879547,0.9015633044049338,0.00931199853941955,0.8276057537638495,0.011202616028668583,121.1728551864624,5.927598981127424,0.18070998191833496,605.864275932312,15,16,93.75,7,100,True,Bank Marketing,5000
GB-RDT-Fast,7,100,0.8276,0.01118212859879547,0.9015633044049338,0.00931199853941955,0.8276057537638495,0.011202616028668583,169.82219018936158,16.98209367245093,0.17351937294006348,849.1109509468079,15,16,93.75,7,100,True,Bank Marketing,5000
GB-sklearn,7,100,0.8453999999999999,0.009156418513807685,0.9183008131945568,0.007246521726793002,0.8453629801739643,0.009146621799736679,1.0439982414245605,0.022512969869532662,0.003890514373779297,5.219991207122803,16,16,100.0,7,100,True,Bank Marketing,5000
XGBoost,7,100,0.8452,0.007678541528180993,0.9192362440534364,0.006908032580929834,0.8451880423897759,0.007652601789786021,0.10484724044799805,0.008013855390481,0.0015231609344482423,0.5242362022399902,15,16,93.75,-1,100,True,Bank Marketing,5000
CatBoost,7,100,0.8426,0.008731551981177237,0.9187733280280268,0.006461516861685441,0.8426020320418501,0.008734464845717533,0.31455235481262206,0.012055198432642042,0.0038995265960693358,1.5727617740631104,16,16,100.0,-1,0,True,Bank Marketing,5000
